地名,センター,燃やせるごみ,燃やせないごみ,資源物（容器包装プラスチック）,資源物（古紙 古着）,資源物（ペットボトル）,資源物（びん かん 有害物）
本町1・2丁目,秋水園,月 木,水1,火,木2 木4,火,金
本町3・4丁目,秋水園,月 木,水2,火,水2 水 4,火,金
久米川町1・2・3丁目,秋水園,月 木,水3,金,水2 水 4,金,火
久米川町4・5丁目,秋水園,月 木,水3,金,水2 水 4,金,水
秋津町1・2・3丁目,秋水園,月 木,火2,水,水1 水3,水,金
秋津町4・5丁目,秋水園,月 木,火4,水,水1 水3,水,金
青葉町,秋水園,火 金,水2,月,木2 木4,月,木
恩多町,秋水園,月 木,水4,火,水1 水3,火,水
萩山町1・2丁目,秋水園,火 金,水2,木,木2 木4,木,月
萩山町3・4・5丁目,秋水園,火 金,水4,月,木2 木4,月,水
栄町1丁目,秋水園,月 木,水1,金,水2 水 4,金,火
栄町2丁目,秋水園,月 木,水1,金,水2 水 4,金,水
栄町3丁目,秋水園,月 木,水3,火,水2 水 4,火,木
富士見町1・2・3丁目,秋水園,火 金,水1,木,月1 月3,木,月
富士見町4・5丁目,秋水園,火 金,水1,木,月1 月3,木,水
美住町,秋水園,月 木,火1,火,木1 木3,火,水
廻田町,秋水園,火 金,水1,木,月1 月3,木,月
多摩湖町,秋水園,火 金,水4,月,月2 月4,月,木
諏訪町,秋水園,火 金,水3,木,月2 月4,木,水
野口町,秋水園,火 金,火3,木,月1 月3,木,月
